Rank,Title,Year,Duration,Genre1,Genre2,Genre3,Rating,Votes,Director,Actor1,Actor2,Actor3,Actor4
58,The War Zone,1999,98,Drama, Thriller,,7.3,10654,Tim Roth,Ray Winstone,Annabelle Apsion,Kate Ashfield,Lara Belmont
59,Angela's Ashes,1999,145,Biography, Drama,,7.3,22463,Alan Parker,Emily Watson,Robert Carlyle,Joe Breen,Ciaran Owens
60,Jin-Roh: The Wolf Brigade,1999,102,Animation, Action, Drama,7.3,17557,Hiroyuki Okiura,Michael Dobson,Yoshikazu Fujiki,Sumi Mutoh,Moneca Stori
61,In China They Eat Dogs,1999,91,Action, Comedy, Crime,7.3,22337,Lasse Spang Olsen,Kim Bodnia,Dejan Cukic,Nikolaj Lie Kaas,Tomas Villum Jensen
62,Running Out of Time,1999,93,Action, Crime, Drama,7.3,6236,Johnnie To,Andy Lau,Ching Wan Lau,YoYo Mung,Waise Lee
63,The Winslow Boy,1999,104,Drama, Romance,,7.3,9260,David Mamet,Rebecca Pidgeon,Jeremy Northam,Nigel Hawthorne,Matthew Pidgeon
64,The Virgin Suicides,1999,97,Drama, Romance,,7.2,159490,Sofia Coppola,Kirsten Dunst,Josh Hartnett,James Woods,Kathleen Turner
65,Notting Hill,1999,124,Comedy, Drama, Romance,7.2,322623,Roger Michell,Hugh Grant,Julia Roberts,Richard McCabe,Rhys Ifans
66,Go,1999,102,Comedy, Crime,,7.2,72926,Doug Liman,Sarah Polley,Jay Mohr,Scott Wolf,Taye Diggs
67,Arlington Road,1999,117,Action, Crime, Drama,7.2,88754,Mark Pellington,Jeff Bridges,Tim Robbins,Joan Cusack,Hope Davis
68,Sweet and Lowdown,1999,95,Comedy, Drama, Music,7.2,35745,Woody Allen,Sean Penn,Samantha Morton,Woody Allen,Ben Duncan
69,Trick,1999,89,Comedy, Music, Romance,7.2,8956,Jim Fall,Christian Campbell,John Paul Pitoc,Tori Spelling,Brad Beyer
70,Aimee & Jaguar,1999,125,Biography, Drama, Romance,7.2,6761,Max Färberböck,Maria Schrader,Juliane Köhler,Johanna Wokalek,Heike Makatsch
71,King of Comedy,1999,89,Comedy, Drama, Romance,7.2,7553,Stephen Chow,Lik-Chi Lee,Stephen Chow,Karen Mok,Cecilia Cheung
72,The Mummy,1999,124,Action, Adventure, Fantasy,7.1,441516,Stephen Sommers,Brendan Fraser,Rachel Weisz,John Hannah,Arnold Vosloo
73,Audition,1999,115,Drama, Horror, Mystery,7.1,84113,Takashi Miike,Ryo Ishibashi,Eihi Shiina,Tetsu Sawaki,Jun Kunimura
74,Three Kings,1999,114,Action, Adventure, Comedy,7.1,175313,David O. Russell,George Clooney,Mark Wahlberg,Ice Cube,Spike Jonze
75,Payback,1999,100,Action, Crime, Drama,7.1,141097,Brian Helgeland,Mel Gibson,Gregg Henry,Maria Bello,David Paymer
76,Human Traffic,1999,99,Comedy, Music,,7.1,25542,Justin Kerrigan,John Simm,Lorraine Pilkington,Shaun Parkes,Nicola Reynolds
77,Titus,1999,162,Drama, History, Thriller,7.1,20993,Julie Taymor,Anthony Hopkins,Jessica Lange,Osheen Jones,Dario D'Ambrosi
78,Two Hands,1999,103,Comedy, Crime, Thriller,7.1,13117,Gregor Jordan,Heath Ledger,Bryan Brown,David Field,Tom Long
79,Fantasia 2000,1999,75,Animation, Family, Fantasy,7.1,39705,James Algar,Gaëtan Brizzi,Paul Brizzi,Hendel Butoy,Francis Glebas
80,My Neighbors the Yamadas,1999,104,Animation, Comedy, Family,7.1,14816,Isao Takahata,Yukiji Asaoka,Tôru Masuoka,Masako Araki,Hayato Isohata
81,Twin Falls Idaho,1999,111,Drama,,,7.1,5185,Michael Polish,Michael Polish,Mark Polish,Michele Hicks,Jon Gries
82,Mifune,1999,98,Romance, Comedy, Drama,7.1,7936,Søren Kragh-Jacobsen,Iben Hjejle,Anders W. Berthelsen,Jesper Asholt,Emil Tarding
