Ranking,IMDByear,IMDBlink,Title,RunTime,Genre,Rating,Score,Votes,Gross,Director,Cast1,Cast2,Cast3,Cast4
111,1998,https://www.imdb.com/title/tt0120632/?ref_=adv_li_tt,City of Angels,114,"Drama, Fantasy, Romance",6.7,54.0,123474,78.69M,Brad Silberling,Nicolas Cage,Meg Ryan,Andre Braugher,Dennis Franz
112,1998,https://www.imdb.com/title/tt0120831/?ref_=adv_li_tt,Slums of Beverly Hills,91,"Comedy, Drama",6.7,69.0,13764,5.48M,Tamara Jenkins,Natasha Lyonne,Alan Arkin,Bryna Weiss,Marisa Tomei
113,1998,https://www.imdb.com/title/tt0118636/?ref_=adv_li_tt,Apt Pupil,111,"Crime, Drama, Thriller",6.7,51.0,40119,8.84M,Bryan Singer,Ian McKellen,Brad Renfro,Joshua Jackson,Mickey Cottrell
114,1998,https://www.imdb.com/title/tt0120728/?ref_=adv_li_tt,The Last Days of Disco,113,"Comedy, Drama, Music",6.7,76.0,13780,2.99M,Whit Stillman,Chloë Sevigny,Kate Beckinsale,Chris Eigeman,Mackenzie Astin
115,1998,https://www.imdb.com/title/tt0119942/?ref_=adv_li_tt,Primary Colors,143,"Comedy, Drama",6.7,70.0,29464,38.97M,Mike Nichols,John Travolta,Emma Thompson,Kathy Bates,Larry Hagman
116,1998,https://www.imdb.com/title/tt0120783/?ref_=adv_li_tt,The Parent Trap,128,"Adventure, Comedy, Drama",6.6,64.0,143709,66.31M,Nancy Meyers,Lindsay Lohan,Dennis Quaid,Natasha Richardson,Elaine Hendrix
117,1998,https://www.imdb.com/title/tt0120890/?ref_=adv_li_tt,Wild Things,108,"Crime, Drama, Mystery",6.6,52.0,124246,29.75M,John McNaughton,Kevin Bacon,Neve Campbell,Matt Dillon,Denise Richards
118,1998,https://www.imdb.com/title/tt0133751/?ref_=adv_li_tt,The Faculty,104,"Horror, Mystery, Sci-Fi",6.6,61.0,127761,40.06M,Robert Rodriguez,Jordana Brewster,Clea DuVall,Laura Harris,Josh Hartnett
119,1998,https://www.imdb.com/title/tt0122151/?ref_=adv_li_tt,Lethal Weapon 4,127,"Action, Crime, Thriller",6.6,37.0,166868,130.44M,Richard Donner,Mel Gibson,Danny Glover,Joe Pesci,Rene Russo
120,1998,https://www.imdb.com/title/tt0120693/?ref_=adv_li_tt,Half Baked,82,"Comedy, Crime",6.6,16.0,65497,17.28M,Tamra Davis,Dave Chappelle,Guillermo Diaz,Jim Breuer,Harland Williams
121,1998,https://www.imdb.com/title/tt0120787/?ref_=adv_li_tt,A Perfect Murder,107,"Crime, Drama, Thriller",6.6,50.0,87937,67.64M,Andrew Davis,Michael Douglas,Gwyneth Paltrow,Viggo Mortensen,David Suchet
122,1998,https://www.imdb.com/title/tt0139362/?ref_=adv_li_tt,High Art,101,"Drama, Romance",6.6,73.0,10841,1.93M,Lisa Cholodenko,Radha Mitchell,Ally Sheedy,Patricia Clarkson,Gabriel Mann
123,1998,https://www.imdb.com/title/tt0120692/?ref_=adv_li_tt,Strike!,97,Comedy,6.6,60.0,7351,0.97M,Sarah Kernochan,Kirsten Dunst,Lynn Redgrave,Gaby Hoffmann,Rachael Leigh Cook
124,1998,https://www.imdb.com/title/tt0120633/?ref_=adv_li_tt,A Civil Action,115,Drama,6.6,68.0,30120,56.70M,Steven Zaillian,John Travolta,Robert Duvall,Kathleen Quinlan,Tony Shalhoub
125,1998,https://www.imdb.com/title/tt0118863/?ref_=adv_li_tt,Clay Pigeons,104,"Comedy, Crime",6.6,46.0,11779,1.79M,David Dobkin,Joaquin Phoenix,Vince Vaughn,Janeane Garofalo,Gregory Sporleder
126,1998,https://www.imdb.com/title/tt0157044/?ref_=adv_li_tt,Sitcom,85,"Comedy, Drama, Romance",6.6,,5415,,François Ozon,Évelyne Dandry,François Marthouret,Marina de Van,Adrien de Van
127,1998,https://www.imdb.com/title/tt0173080/?ref_=adv_li_tt,Pyaar Kiya To Darna Kya,162,"Action, Comedy, Drama",6.6,,5603,,Sohail Khan,Salman Khan,Kajol,Arbaaz Khan,Anjala Zaveri
128,1998,https://www.imdb.com/title/tt0127723/?ref_=adv_li_tt,Can't Hardly Wait,100,"Comedy, Romance",6.5,52.0,51981,25.34M,Harry Elfont,Deborah Kaplan,Jennifer Love Hewitt,Ethan Embry,Charlie Korsmo
