Ranking,IMDByear,IMDBlink,Title,RunTime,Genre,Rating,Score,Votes,Gross,Director,Cast1,Cast2,Cast3,Cast4
144,1998,https://www.imdb.com/title/tt0120533/?ref_=adv_li_tt,Celebrity,113,"Comedy, Drama",6.3,41.0,27552,5.03M,Woody Allen,Kenneth Branagh,Judy Davis,Leonardo DiCaprio,Greg Mottola
145,1998,https://www.imdb.com/title/tt0126604/?ref_=adv_li_tt,Pecker,87,"Comedy, Drama",6.3,66.0,14476,2.28M,John Waters,Edward Furlong,Christina Ricci,Bess Armstrong,Mark Joy
146,1998,https://www.imdb.com/title/tt0133985/?ref_=adv_li_tt,A Murder of Crows,102,"Action, Crime, Thriller",6.3,,8496,,Rowdy Herrington,Cuba Gooding Jr.,Tom Berenger,Marianne Jean-Baptiste,Eric Stoltz
147,1998,https://www.imdb.com/title/tt0119517/?ref_=adv_li_tt,Your Friends and Neighbors,100,"Comedy, Drama, Romance",6.3,70.0,8190,4.71M,Neil LaBute,Amy Brenneman,Aaron Eckhart,Ben Stiller,Nastassja Kinski
148,1998,https://www.imdb.com/title/tt0119734/?ref_=adv_li_tt,Music from Another Room,104,"Comedy, Drama, Romance",6.3,,5254,,Charlie Peters,Jude Law,Jennifer Tilly,Gretchen Mol,Martha Plimpton
149,1998,https://www.imdb.com/title/tt0120647/?ref_=adv_li_tt,Deep Impact,120,"Action, Drama, Sci-Fi",6.2,40.0,182476,140.46M,Mimi Leder,Robert Duvall,Téa Leoni,Elijah Wood,Morgan Freeman
150,1998,https://www.imdb.com/title/tt0122718/?ref_=adv_li_tt,Small Soldiers,110,"Action, Adventure, Comedy",6.2,,101945,54.68M,Joe Dante,Kirsten Dunst,Gregory Smith,David Cross,Jay Mohr
151,1998,https://www.imdb.com/title/tt0120770/?ref_=adv_li_tt,A Night at the Roxbury,82,"Comedy, Music, Romance",6.2,26.0,62159,30.32M,John Fortenberry,Chris Kattan,Will Ferrell,Raquel Gardner,Viveca Paulin
152,1998,https://www.imdb.com/title/tt0120800/?ref_=adv_li_tt,Quest for Camelot,86,"Animation, Adventure, Comedy",6.2,50.0,17192,22.72M,Frederik Du Chau,Jessalyn Gilsig,Cary Elwes,Andrea Corr,Bryan White
153,1998,https://www.imdb.com/title/tt0190641/?ref_=adv_li_tt,Pokémon: The First Movie - Mewtwo Strikes Back,96,"Animation, Action, Adventure",6.2,35.0,44196,85.74M,Kunihiko Yuyama,Michael Haigney,Veronica Taylor,Rachael Lillis,Eric Stuart
154,1998,https://www.imdb.com/title/tt0158493/?ref_=adv_li_tt,Belly,96,"Crime, Drama",6.2,36.0,11790,9.63M,Hype Williams,Nas,DMX,Taral Hicks,Tionne 'T-Boz' Watkins
155,1998,https://www.imdb.com/title/tt0119594/?ref_=adv_li_tt,Twilight,94,"Crime, Drama, Mystery",6.2,,13546,15.03M,Robert Benton,Paul Newman,Susan Sarandon,Gene Hackman,Reese Witherspoon
156,1998,https://www.imdb.com/title/tt0120788/?ref_=adv_li_tt,Permanent Midnight,88,"Biography, Drama, Romance",6.2,57.0,7715,1.17M,David Veloz,Ben Stiller,Maria Bello,Jay Paulson,Spencer Garrett
157,1998,https://www.imdb.com/title/tt0122515/?ref_=adv_li_tt,The Acid House,111,"Comedy, Drama",6.2,55.0,7872,0.14M,Paul McGuigan,Stephen McCole,Maurice Roëves,Garry Sweeney,Jenny McCrindle
158,1998,https://www.imdb.com/title/tt0120894/?ref_=adv_li_tt,Immortality,98,"Crime, Mystery, Romance",6.2,58.0,6030,0.02M,Po-Chih Leong,Jude Law,Elina Löwensohn,Timothy Spall,Jack Davenport
159,1998,https://www.imdb.com/title/tt0120484/?ref_=adv_li_tt,The Waterboy,90,"Comedy, Sport",6.1,41.0,169639,161.49M,Frank Coraci,Adam Sandler,Kathy Bates,Henry Winkler,Fairuza Balk
160,1998,https://www.imdb.com/title/tt0118956/?ref_=adv_li_tt,Deep Rising,106,"Action, Adventure, Horror",6.1,,38604,11.20M,Stephen Sommers,Treat Williams,Famke Janssen,Anthony Heald,Kevin J. O'Connor
161,1998,https://www.imdb.com/title/tt0120184/?ref_=adv_li_tt,Sphere,134,"Action, Mystery, Sci-Fi",6.1,35.0,108750,37.02M,Barry Levinson,Dustin Hoffman,Sharon Stone,Samuel L. Jackson,Peter Coyote
162,1998,https://www.imdb.com/title/tt0120832/?ref_=adv_li_tt,Snake Eyes,98,"Crime, Mystery, Thriller",6.1,52.0,83797,55.59M,Brian De Palma,Nicolas Cage,Gary Sinise,John Heard,Carla Gugino
163,1998,https://www.imdb.com/title/tt0120877/?ref_=adv_li_tt,Vampires,108,"Action, Horror, Thriller",6.1,42.0,61062,20.24M,John Carpenter,James Woods,Daniel Baldwin,Sheryl Lee,Thomas Ian Griffith
164,1998,https://www.imdb.com/title/tt0120749/?ref_=adv_li_tt,Mercury Rising,111,"Action, Crime, Drama",6.1,37.0,75819,32.94M,Harold Becker,Bruce Willis,Miko Hughes,Alec Baldwin,Chi McBride
165,1998,https://www.imdb.com/title/tt0120008/?ref_=adv_li_tt,The Replacement Killers,87,"Action, Crime, Thriller",6.1,42.0,29709,18.97M,Antoine Fuqua,Chow Yun-Fat,Mira Sorvino,Michael Rooker,Kenneth Tsang
166,1998,https://www.imdb.com/title/tt0118966/?ref_=adv_li_tt,Desperate Measures,100,"Action, Crime, Drama",6.1,,17237,13.81M,Barbet Schroeder,Michael Keaton,Andy Garcia,Brian Cox,Marcia Gay Harden
167,1998,https://www.imdb.com/title/tt0120769/?ref_=adv_li_tt,The Newton Boys,122,"Action, Crime, Drama",6.1,57.0,11886,10.30M,Richard Linklater,Matthew McConaughey,Ethan Hawke,Skeet Ulrich,Vincent D'Onofrio
168,1998,https://www.imdb.com/title/tt0120782/?ref_=adv_li_tt,Palmetto,114,"Crime, Drama, Mystery",6.1,43.0,8119,5.84M,Volker Schlöndorff,Woody Harrelson,Elisabeth Shue,Gina Gershon,Rolf Hoppe
169,1998,https://www.imdb.com/title/tt0120882/?ref_=adv_li_tt,The Visitors II: The Corridors of Time,118,"Comedy, Fantasy",6.1,,12619,0.15M,Jean-Marie Poiré,Christian Clavier,Jean Reno,Muriel Robin,Marie-Anne Chazel
170,1998,https://www.imdb.com/title/tt0163818/?ref_=adv_li_tt,Hitman,104,"Action, Comedy, Crime",6.1,,5325,,Wei Tung,Jet Li,Eric Tsang,Simon Yam,Gigi Leung
171,1998,https://www.imdb.com/title/tt0119313/?ref_=adv_li_tt,Hope Floats,114,"Drama, Romance",6.0,42.0,28687,60.05M,Forest Whitaker,Sandra Bullock,Harry Connick Jr.,Gena Rowlands,Mae Whitman
172,1998,https://www.imdb.com/title/tt0120157/?ref_=adv_li_tt,Soldier,99,"Action, Drama, Sci-Fi",6.0,,57940,14.57M,Paul W.S. Anderson,Kurt Russell,Jason Scott Lee,Jason Isaacs,Connie Nielsen
173,1998,https://www.imdb.com/title/tt0120609/?ref_=adv_li_tt,The Big Hit,91,"Action, Comedy, Crime",6.0,31.0,30693,27.05M,Kirk Wong,Mark Wahlberg,Lou Diamond Phillips,Christina Applegate,Avery Brooks
174,1998,https://www.imdb.com/title/tt0120772/?ref_=adv_li_tt,The Object of My Affection,111,"Comedy, Drama, Romance",6.0,51.0,20749,29.11M,Nicholas Hytner,Jennifer Aniston,Paul Rudd,Kali Rocha,Lena Cardwell
175,1998,https://www.imdb.com/title/tt0120901/?ref_=adv_li_tt,Wrongfully Accused,87,"Action, Comedy, Thriller",6.0,,27519,9.62M,Pat Proft,Leslie Nielsen,Richard Crenna,Kelly LeBrock,Melinda McGraw
176,1998,https://www.imdb.com/title/tt0123987/?ref_=adv_li_tt,Madeline,88,"Comedy, Family",6.0,,7745,29.77M,Daisy von Scherler Mayer,Frances McDormand,Nigel Hawthorne,Hatty Jones,Ben Daniels
177,1998,https://www.imdb.com/title/tt0120603/?ref_=adv_li_tt,Beloved,172,"Drama, History, Horror",6.0,57.0,9272,22.85M,Jonathan Demme,Oprah Winfrey,Danny Glover,Yada Beener,Emil Pinnock
178,1998,https://www.imdb.com/title/tt0120820/?ref_=adv_li_tt,Senseless,93,"Comedy, Romance",6.0,36.0,17075,13.04M,Penelope Spheeris,Marlon Wayans,David Spade,Brad Dourif,Esther Scott
